Month,Avg. Players,Gain,% Gain,Peak Players
Last 30 Days,42363.75,-118.5,-0.28%,80466
September 2019,42482.22,-10713.34,-20.14%,80466
August 2019,53195.56,-2706.68,-4.84%,96262
July 2019,55902.24,13228.98,+31.00%,94907
June 2019,42673.26,-7907.43,-15.63%,74255
May 2019,50580.69,-5993.82,-10.59%,97068
April 2019,56574.51,-6225.98,-9.91%,107898
March 2019,62800.49,16576.23,+35.86%,115102
February 2019,46224.26,-6530.25,-12.38%,74472
January 2019,52754.51,-973.04,-1.81%,82266
December 2018,53727.55,-7758.99,-12.62%,89029
November 2018,61486.55,11768.29,+23.67%,131766
October 2018,49718.26,-2076.00,-4.01%,99735
September 2018,51794.26,-17097.44,-24.82%,86984
August 2018,68891.69,-7703.22,-10.06%,107100
July 2018,76594.91,19971.45,+35.27%,118191
June 2018,56623.46,13680.60,+31.86%,129002
May 2018,42942.86,-7399.31,-14.70%,73097
April 2018,50342.17,2251.24,+4.68%,85227
March 2018,48090.92,-944.53,-1.93%,81338
February 2018,49035.45,3857.89,+8.54%,82384
January 2018,45177.56,-6202.41,-12.07%,69002
December 2017,51379.97,-5120.47,-9.06%,76564
November 2017,56500.44,-5408.38,-8.74%,102965
October 2017,61908.82,24880.71,+67.19%,121377
September 2017,37028.11,-2939.28,-7.35%,58608
August 2017,39967.39,965.21,+2.47%,55743
July 2017,39002.18,13100.15,+50.58%,58314
June 2017,25902.03,-1879.21,-6.76%,51423
May 2017,27781.24,-2795.16,-9.14%,47732
April 2017,30576.4,-147.26,-0.48%,50822
March 2017,30723.66,2325.41,+8.19%,69526
February 2017,28398.25,-3336.65,-10.51%,45309
January 2017,31734.9,-1943.55,-5.77%,47134
December 2016,33678.45,3861.26,+12.95%,56812
November 2016,29817.19,8928.58,+42.74%,68530
October 2016,20888.62,-1887.31,-8.29%,34094
September 2016,22775.92,-3772.49,-14.21%,39037
August 2016,26548.41,-1977.75,-6.93%,46268
July 2016,28526.17,2199.23,+8.35%,61417
June 2016,26326.93,-271.05,-1.02%,41739
May 2016,26597.98,-547.56,-2.02%,44091
April 2016,27145.55,-6602.00,-19.56%,47242
March 2016,33747.55,1838.30,+5.76%,66308
February 2016,31909.25,1199.69,+3.91%,49683
January 2016,30709.56,-2544.25,-7.65%,50177
December 2015,33253.8,11920.40,+55.88%,58502
November 2015,21333.4,-6380.24,-23.02%,37303
October 2015,27713.64,5645.86,+25.58%,48901
September 2015,22067.78,-7092.23,-24.32%,38904
August 2015,29160.01,9223.72,+46.27%,44908
July 2015,19936.29,1570.03,+8.55%,49829
June 2015,18366.27,-2564.27,-12.25%,29209
May 2015,20930.54,-1167.12,-5.28%,37595
April 2015,22097.66,864.32,+4.07%,40497
March 2015,21233.34,2854.61,+15.53%,42816
February 2015,18378.74,459.19,+2.56%,28376
January 2015,17919.54,-1456.78,-7.52%,28400
December 2014,19376.33,2479.55,+14.67%,29349
November 2014,16896.78,1159.80,+7.37%,32800
October 2014,15736.98,-66.18,-0.42%,34785
September 2014,15803.16,-662.90,-4.03%,25841
August 2014,16466.05,1243.70,+8.17%,28233
July 2014,15222.36,3073.45,+25.30%,31766
June 2014,12148.9,539.89,+4.65%,19939
May 2014,11609.02,-2763.50,-19.23%,19536
April 2014,14372.52,1993.52,+16.10%,26848
March 2014,12379,-1273.85,-9.33%,21193
February 2014,13652.84,1992.00,+17.08%,21380
January 2014,11660.84,545.15,+4.90%,16929
December 2013,11115.69,1894.94,+20.55%,18274
November 2013,9220.75,283.07,+3.17%,18459
October 2013,8937.68,-778.95,-8.02%,16381
September 2013,9716.62,884.84,+10.02%,18941
August 2013,8831.78,-773.81,-8.06%,14349
July 2013,9605.6,-1168.82,-10.85%,15714
June 2013,10774.41,435.88,+4.22%,19554
May 2013,10338.53,-1991.12,-16.15%,19734
April 2013,12329.65,10369.52,+529.02%,21157
March 2013,1960.13,1960.13,+43776179.05%,19099
February 2013,0,0.00,+Inf%,1
January 2013,0,-,-,0
